"Collision Report Number","Collision Date","County","City","Jurisdiction","Agency","Primary Trafficway","Secondary Trafficway","Block Number","Mile Post","School Zone","Intersection Related","Weather Condition","Lighting Condition","Injury Severity","Collision Type","Object Struck","Damage Threshold Met","Hit and Run","Motor Vehicles Involved","Passengers Involved","Commercial Carrier Involved","School Bus Involved","Pedestrians Involved","Pedalcyclists Involved"
"EA09560","1/23/2020 3:25:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","WISER LAKE RD       ","","8.560","N","Y","Raining","Daylight","No Injury Collision","","Metal Sign Post","Y","Y","1","N","N","N","0","0"
"EA13261","1/23/2020 11:21:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","S SAMISH WAY        ","","246.380","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","Wrong Way sign","Y","N","1","N","N","N","0","0"
"EA13323","1/24/2020 6:10:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NULLE ROAD          ","","243.900","Y","N","Raining","Dark-No Street Lights","No Injury Collision","","DIRT BANK","Y","N","1","N","N","N","0","0"
"EA07473","1/24/2020 5:48:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NULLE ROAD          ","","244.000","N","N","Clear","Dark-No Street Lights","No Injury Collision","","Deer","Y","N","1","N","N","N","0","0"
"EA13322","1/25/2020 7:21:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SAMISH WAY          ","","252.000","N","N","Raining","Daylight","No Injury Collision","","CHAINLINK FENCE/ TREE","Y","N","1","N","N","N","0","0"
"EA09561","1/26/2020 11:40:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","GRANDVIEW RD        ","","265.180","N","N","Raining","Daylight","No Injury Collision","","","Y","N","1","N","N","N","0","0"
"EA13214","1/27/2020 7:02:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NULLE ROAD          ","","244.700","N","N","Raining","Dark-No Street Lights","Minor Injury Collision","","Guardrail","Y","N","1","Y","N","N","0","0"
"EA10838","1/28/2020 8:04:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SLATER RD           ","","260.150","N","N","Raining","Daylight","Minor Injury Collision","","","Y","N","3","N","N","N","0","0"
"EA10838","1/28/2020 8:04:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SLATER RD           ","","260.150","N","N","Raining","Daylight","Minor Injury Collision","","","N","N","3","N","N","N","0","0"
"EA11874","1/28/2020 7:15:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","RIVER ROAD          ","","9.890","N","N","Raining","Dark-Street Lights On","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA10836","1/29/2020 3:19:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","254.820","N","N","Clear","Daylight","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA10836","1/29/2020 3:19:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","254.820","N","N","Clear","Daylight","No Injury Collision","","","N","N","2","Y","N","N","0","0"
"EA10837","1/29/2020 5:27:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","SR 544              ","","7.510","N","Y","Raining","Dark-Street Lights On","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA10835","1/30/2020 9:04:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 11               ","","249.900","N","N","Clear","Daylight","No Injury Collision","","","Y","N","1","N","N","N","0","0"
"EA11872","1/30/2020 6:15:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","IOWA                ","","253.800","N","N","Raining","Dark-Street Lights On","Minor Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA11875","1/30/2020 7:23:00 PM","Whatcom","Blaine","State Road","State Patrol","I-5                 ","SR 543              ","","276.000","N","N","Raining","Dark-No Street Lights","No Injury Collision","","metal cable barrier","Y","N","1","N","N","N","0","0"
"EA13213","1/30/2020 8:33:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN ST             ","","262.300","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Fence","N","N","1","N","N","N","0","0"
"EA13213","1/30/2020 8:33:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN ST             ","","262.300","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Fence","Y","N","1","N","N","N","0","0"
"EA11876","1/30/2020 8:51:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","LAKE SAMISH         ","","246.000","N","N","Raining","Dark - Unknown Lighting","No Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EA13215","1/31/2020 3:10:00 AM","Whatcom","Everson","State Road","State Patrol","SR 9                ","HOPEWELL RD         ","","87.330","N","N","Raining","Dark - Unknown Lighting","No Injury Collision","","Utility Pole","Y","N","1","N","Y","N","0","0"
"EA10840","1/31/2020 6:00:00 AM","Whatcom","Sumas","State Road","State Patrol","SR 547              ","BISHOP RD           ","","7.900","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Tree or Stump","Y","N","1","N","N","N","0","0"
"EA10839","1/31/2020 8:16:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN ST             ","","262.100","N","N","Raining","Daylight","No Injury Collision","","Fence","Y","N","1","N","N","N","0","0"
"EA10839","1/31/2020 8:16:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN ST             ","","262.100","N","N","Raining","Daylight","No Injury Collision","","Fence","N","N","1","N","N","N","0","0"
"EA11877","1/31/2020 2:59:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","255.900","N","N","Overcast","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA13216","1/31/2020 4:25:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","RIVER ROAD          ","","9.400","N","N","Raining","Dusk","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA11879","1/31/2020 4:45:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","SMITH ROAD          ","","3.400","N","N","Overcast","Dark-Street Lights On","Minor Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA11878","1/31/2020 8:53:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N LAKE SAMISH WAY   ","","248.000","N","N","Raining","Dark-No Street Lights","No Injury Collision","","jersey barrier","Y","N","1","N","N","N","0","0"
"EA11880","2/1/2020 12:20:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","255.000","N","N","Raining","Dark-Street Lights On","No Injury Collision","","Over Embankment","Y","N","1","N","N","N","0","0"
"EA11881","2/1/2020 1:20:00 AM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","LAKE SAMISH         ","","246.000","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Wood Sign Post","Y","N","1","N","N","N","0","0"
"EA14807","2/1/2020 8:56:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","SLATER RD           ","","259.000","N","N","Clear","Dark - Unknown Lighting","No Injury Collision","","","Y","Y","2","N","N","N","0","0"
"EA14808","2/2/2020 12:51:00 AM","Whatcom","Blaine","State Road","State Patrol","I-5                 ","BIRCH BAY/LYNDEN RD ","","270.000","N","N","Clear","Dark-No Street Lights","Serious Injury Collision","","Wood Sign Post","Y","N","1","Y","N","N","0","0"
"EA13217","2/2/2020 5:30:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","SALMON RIDGE RD     ","","54.500","N","N","Overcast","Other","No Injury Collision","","","Y","Y","2","N","N","N","0","0"
"EA10842","2/3/2020 7:49:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NULLE RD            ","","242.760","N","N","Overcast","Daylight","Minor Injury Collision","","","Y","N","3","N","N","N","0","0"
"EA12171","2/3/2020 12:20:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NULLE ROAD          ","","242.800","N","N","Clear","Daylight","Minor Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA10841","2/3/2020 1:37:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET DR           ","","255.350","N","N","Overcast","Daylight","No Injury Collision","","tire","Y","N","1","N","N","N","0","0"
"EA11882","2/3/2020 5:39:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 9                ","STRAND RD           ","","75.000","N","Y","Clear","Dark-Street Lights Off","No Injury Collision","","Fence","Y","N","2","N","N","N","0","0"
"EA11885","2/3/2020 6:05:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN STREET         ","","262.900","N","N","Clear","Dark-Street Lights On","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA12169","2/4/2020 11:30:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","ORLEANS             ","","0.470","N","N","Snowing","Daylight","Minor Injury Collision","","","Y","N","1","N","N","N","1","0"
"EA12169","2/4/2020 11:30:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","ORLEANS             ","","0.470","N","N","Snowing","Daylight","Minor Injury Collision","","","N","N","1","N","N","N","1","0"
"EA13325","2/4/2020 12:01:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","EASTWOOD RD         ","","22.100","N","N","Snowing","Daylight","Minor Injury Collision","","tree","Y","N","1","N","N","N","0","0"
"EA12168","2/4/2020 1:30:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","CUSTER SCHOOL RD    ","","267.700","N","N","Snowing","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
